
test 	Epoch 23/300 	 Learning rate: 0.00100 	 Train loss_ave: 2.18616 	  acc_ave: 0.73337 	  

train 	Epoch 24/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00030 	  acc_ave: 0.99995 	  

test 	Epoch 24/300 	 Learning rate: 0.00100 	 Train loss_ave: 2.16431 	  acc_ave: 0.73758 	  

train 	Epoch 25/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00009 	  acc_ave: 1.00000 	  

test 	Epoch 25/300 	 Learning rate: 0.00100 	 Train loss_ave: 2.20965 	  acc_ave: 0.74038 	  

train 	Epoch 26/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00006 	  acc_ave: 1.00000 	  

test 	Epoch 26/300 	 Learning rate: 0.00100 	 Train loss_ave: 2.26911 	  acc_ave: 0.74058 	  

train 	Epoch 27/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00005 	  acc_ave: 1.00000 	  

test 	Epoch 27/300 	 Learning rate: 0.00100 	 Train loss_ave: 2.34379 	  acc_ave: 0.73978 	  

train 	Epoch 28/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00004 	  acc_ave: 1.00000 	  

test 	Epoch 28/300 	 Learning rate: 0.00100 	 Train loss_ave: 2.39788 	  acc_ave: 0.74058 	  

train 	Epoch 29/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00005 	  acc_ave: 1.00000 	  

test 	Epoch 29/300 	 Learning rate: 0.00100 	 Train loss_ave: 2.46898 	  acc_ave: 0.74119 	  

train 	Epoch 30/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00005 	  acc_ave: 1.00000 	  

test 	Epoch 30/300 	 Learning rate: 0.00100 	 Train loss_ave: 2.57262 	  acc_ave: 0.74058 	  

train 	Epoch 31/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00023 	  acc_ave: 0.99995 	  

test 	Epoch 31/300 	 Learning rate: 0.00100 	 Train loss_ave: 2.58389 	  acc_ave: 0.74038 	  

train 	Epoch 32/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00001 	  acc_ave: 1.00000 	  

test 	Epoch 32/300 	 Learning rate: 0.00100 	 Train loss_ave: 2.79411 	  acc_ave: 0.74339 	  

train 	Epoch 33/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00000 	  acc_ave: 1.00000 	  

test 	Epoch 33/300 	 Learning rate: 0.00100 	 Train loss_ave: 2.82392 	  acc_ave: 0.74359 	  

train 	Epoch 34/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00000 	  acc_ave: 1.00000 	  

test 	Epoch 34/300 	 Learning rate: 0.00100 	 Train loss_ave: 2.92667 	  acc_ave: 0.74219 	  

train 	Epoch 35/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00000 	  acc_ave: 1.00000 	  

test 	Epoch 35/300 	 Learning rate: 0.00100 	 Train loss_ave: 3.03133 	  acc_ave: 0.74119 	  

train 	Epoch 36/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00000 	  acc_ave: 1.00000 	  

test 	Epoch 36/300 	 Learning rate: 0.00100 	 Train loss_ave: 3.05231 	  acc_ave: 0.74199 	  

train 	Epoch 37/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00000 	  acc_ave: 1.00000 	  

